Car_Name,Year,Selling_Price,Present_Price,Driven_kms,Fuel_Type,Selling_type,Transmission,Owner
fortuner,2012,2.56,14.14,211515,Petrol,Dealer,Manual,0
yaris,2015,2.79,8.35,97017,Petrol,Individual,Manual,0
swift,2014,5.33,16.43,120116,Petrol,Dealer,Manual,0
cruze,2017,4.14,10.74,100349,Petrol,Dealer,Manual,0
a-star,2015,9.29,28.04,163049,Petrol,Individual,Automatic,1
nano,2009,2.67,43.99,253279,Diesel,Dealer,Manual,0
nexon,2007,1.06,17.25,296562,Petrol,Dealer,Manual,1
kwid,2015,11.53,30.41,162818,Diesel,Dealer,Manual,0
hexa,2005,5.85,82.8,295464,Petrol,Dealer,Automatic,0
jazz,2014,3.24,10.5,145616,Diesel,Dealer,Manual,1
swift,2018,2.76,7.97,69802,Petrol,Individual,Automatic,1
city,2014,4.8,21.48,102146,Petrol,Individual,Manual,1
ertiga,2013,12.34,56.99,150127,Petrol,Dealer,Manual,1
creta,2015,4.27,13.58,80900,Petrol,Dealer,Manual,0
vitara,2013,9.1,54.6,92086,Petrol,Individual,Automatic,1
bolero,2014,3.51,14.54,101830,Petrol,Individual,Manual,0
verna,2018,3.67,8.77,82583,Petrol,Individual,Manual,1
alto,2013,1.76,8.45,175863,Petrol,Dealer,Manual,0
yaris,2018,8.79,24.22,90962,Petrol,Dealer,Manual,1
mobilio,2017,2.46,7.55,53677,Petrol,Individual,Manual,0
ciaz,2010,2.21,16.96,175343,Petrol,Dealer,Manual,0
brio,2007,5.58,63.03,186805,Diesel,Dealer,Manual,0
datsun redi-go,2008,0.47,18.45,184933,Diesel,Dealer,Manual,1
tiguan,2005,3.01,37.77,287294,Petrol,Dealer,Manual,0
swift,2008,1.36,7.31,275450,Petrol,Dealer,Manual,0
city,2015,3.84,11.38,107079,Petrol,Dealer,Manual,0
ignis,2007,0.17,7.66,271915,Diesel,Individual,Manual,0
endeavour,2012,3.39,16.85,131131,Petrol,Dealer,Manual,1
polo,2017,9.1,22.7,98413,Petrol,Individual,Manual,0
tiguan,2005,1.13,16.88,323476,Petrol,Dealer,Manual,3
brio,2017,17.25,46.41,55494,Petrol,Dealer,Automatic,0
verna,2011,1.35,9.89,109223,Petrol,Dealer,Manual,0
accord,2008,1.23,15.82,134832,Petrol,Individual,Manual,1
scorpio,2015,3.36,14.83,96476,Petrol,Dealer,Automatic,0
kwid,2015,5.17,17.28,149840,Petrol,Individual,Manual,0
ertiga,2017,8.51,22.3,106523,Petrol,Dealer,Manual,0
brio,2016,7.46,23.47,101310,Petrol,Dealer,Manual,1
wagon r,2016,4.2,11.22,97033,Diesel,Dealer,Manual,0
ertiga,2011,1.5,12.63,227287,Diesel,Dealer,Manual,3
polo,2010,0.71,8.64,176659,Petrol,Individual,Manual,3
scala,2016,5.25,13.77,105848,Petrol,Dealer,Manual,0
nexon,2016,5.25,17.01,72263,Petrol,Dealer,Manual,0
xcent,2018,11.91,28.15,66062,Petrol,Individual,Automatic,0
accord,2013,2.96,9.28,98046,Petrol,Dealer,Manual,0
endeavour,2012,1.33,7.95,104336,Diesel,Dealer,Manual,0
jetta,2016,35.0,92.6,100301,Diesel,Dealer,Manual,0
etios,2012,1.36,6.54,190912,Petrol,Individual,Manual,0
tiguan,2018,7.14,23.55,94405,Petrol,Individual,Manual,1
innova,2017,6.5,16.4,105217,Petrol,Dealer,Manual,1
fortuner,2013,3.09,18.93,186460,Petrol,Dealer,Manual,1
grand i10,2016,4.69,16.06,104263,Petrol,Dealer,Manual,0
city,2016,3.66,12.52,58672,Petrol,Dealer,Manual,0
accord,2008,2.34,30.44,151909,Diesel,Dealer,Manual,0
city,2017,3.64,10.29,47032,Petrol,Individual,Manual,3
scala,2014,8.42,29.16,173650,Petrol,Individual,Manual,0
wagon r,2017,11.66,32.59,72159,Diesel,Dealer,Manual,1
fortuner,2012,4.17,23.74,129736,Petrol,Dealer,Manual,0
tiago,2017,3.02,9.84,119492,Petrol,Individual,Manual,0
dzire,2013,2.79,13.8,129177,Petrol,Dealer,Manual,1
i20,2004,1.33,7.44,296532,Petrol,Dealer,Manual,0
jetta,2017,3.89,12.79,110873,Petrol,Dealer,Manual,1
baleno,2008,1.13,8.19,266633,Petrol,Dealer,Manual,1
brio,2012,4.65,32.08,200101,Petrol,Individual,Manual,0
alto,2018,12.13,30.25,79060,Diesel,Dealer,Automatic,0
wr-v,2018,7.79,17.97,61718,Petrol,Dealer,Manual,0
hexa,2014,3.51,15.34,98647,Petrol,Individual,Automatic,1
ciaz,2015,6.1,23.76,145099,Petrol,Dealer,Automatic,0
scala,2013,12.54,88.2,93192,Petrol,Individual,Automatic,0
thar,2012,2.89,13.24,119896,Petrol,Dealer,Manual,0
ciaz,2012,1.66,10.53,185695,Petrol,Dealer,Manual,1
swift,2015,4.87,19.3,140477,Petrol,Individual,Manual,0
nexon,2016,0.65,2.66,99930,CNG,Individual,Manual,1
yaris,2016,4.88,14.25,98952,Petrol,Individual,Manual,1
ciaz,2016,4.67,12.63,105914,Petrol,Dealer,Manual,0
nexon,2008,0.96,8.43,280796,Petrol,Dealer,Manual,0
wagon r,2014,4.82,22.38,170789,Petrol,Dealer,Manual,3
accord,2007,0.8,16.67,179912,Petrol,Dealer,Manual,0
baleno,2014,0.63,6.49,117234,Petrol,Dealer,Automatic,1
grand i10,2013,3.11,19.22,130208,Diesel,Dealer,Automatic,0
ignis,2017,1.33,2.1,100032,Petrol,Individual,Manual,0
scorpio,2012,4.05,27.25,197694,Diesel,Dealer,Manual,1
city,2008,1.94,16.43,153711,Petrol,Individual,Manual,0
fortuner,2009,1.08,9.6,234368,Petrol,Dealer,Manual,0
i20,2016,9.79,31.98,73237,Diesel,Dealer,Manual,0
baleno,2015,1.55,6.99,147208,Petrol,Dealer,Manual,0
accord,2008,0.71,7.28,167869,Petrol,Individual,Manual,0
ertiga,2008,2.21,21.08,241745,Petrol,Dealer,Manual,0
nano,2016,3.74,10.29,147961,Petrol,Dealer,Manual,1
ertiga,2007,1.01,13.13,153879,Petrol,Individual,Manual,0
fortuner,2017,3.95,9.46,116584,Petrol,Individual,Manual,0
aspire,2016,4.3,12.31,79558,Petrol,Dealer,Manual,0
verna,2007,2.38,17.73,210347,Diesel,Dealer,Manual,1
cruze,2008,1.68,14.22,143488,Diesel,Dealer,Manual,0
spark,2018,6.79,16.64,95224,Petrol,Individual,Manual,1
dzire,2012,1.33,9.09,173477,Petrol,Individual,Manual,0
innova,2012,2.29,13.8,174845,Petrol,Individual,Manual,0
wagon r,2017,3.09,10.02,96370,Petrol,Dealer,Manual,0
alto,2018,3.14,5.93,62059,Petrol,Dealer,Manual,0
city,2018,18.23,40.75,72655,Diesel,Dealer,Manual,0
kwid,2016,7.26,22.25,83148,Petrol,Dealer,Manual,0
innova,2012,11.33,71.19,180497,Petrol,Dealer,Manual,1
brio,2008,0.5,8.16,252643,Petrol,Dealer,Manual,0
alto,2016,4.98,18.26,95927,Petrol,Dealer,Automatic,0
tiago,2014,3.62,19.22,109958,Petrol,Dealer,Automatic,0
dzire,2013,8.56,47.32,96929,Diesel,Individual,Automatic,1
mobilio,2017,4.73,11.56,100153,Petrol,Dealer,Manual,0
innova,2008,0.8,7.52,229509,Petrol,Dealer,Manual,0
datsun redi-go,2014,12.01,35.25,124438,Petrol,Dealer,Manual,0
dzire,2004,1.4,23.82,308716,Diesel,Dealer,Automatic,1
figo,2013,5.43,28.47,115754,Petrol,Dealer,Manual,0
jetta,2007,2.03,26.4,202801,Petrol,Dealer,Manual,0
dzire,2009,1.64,22.09,265988,Diesel,Dealer,Manual,1
polo,2008,0.95,12.2,153696,Petrol,Individual,Manual,1
verna,2015,2.64,12.47,132343,Petrol,Dealer,Manual,0
lodgy,2016,3.85,13.53,92277,CNG,Individual,Manual,1
scala,2014,10.02,39.45,98121,Diesel,Dealer,Manual,0
corolla,2018,6.05,12.47,51582,Petrol,Dealer,Automatic,0
jazz,2012,3.32,20.55,129855,Diesel,Individual,Manual,0
xuv500,2011,0.56,7.76,189816,Petrol,Dealer,Manual,0
ertiga,2017,2.72,8.43,63368,Petrol,Dealer,Manual,0
swift,2011,1.21,22.06,113408,Diesel,Dealer,Manual,1
city,2018,2.51,4.49,54452,Petrol,Dealer,Manual,0
duster,2004,6.7,85.91,287301,Diesel,Dealer,Manual,0
figo,2018,3.54,7.42,70282,Petrol,Dealer,Manual,0
city,2006,3.32,28.52,152669,Diesel,Dealer,Automatic,1
fortuner,2017,12.71,40.88,103768,Diesel,Individual,Manual,0
baleno,2014,2.33,7.79,114568,Petrol,Individual,Manual,0
ecosport,2018,2.14,5.05,92283,Diesel,Dealer,Manual,0
swift,2007,0.33,15.66,295870,Petrol,Dealer,Automatic,0
aspire,2014,3.16,9.12,140142,Petrol,Dealer,Manual,3
creta,2018,0.17,3.11,85745,Petrol,Individual,Manual,1
safari,2014,5.72,19.35,90016,Petrol,Dealer,Manual,0
amaze,2015,7.79,23.92,122827,Petrol,Dealer,Automatic,1
s-cross,2015,9.93,28.71,150064,Petrol,Individual,Manual,0
accord,2013,0.93,7.76,129966,Petrol,Dealer,Manual,1
hexa,2015,1.31,5.69,134623,Petrol,Dealer,Manual,0
tuv,2014,4.6,14.7,173378,Diesel,Individual,Manual,0
vitara,2017,5.43,16.77,107682,Petrol,Individual,Automatic,0
ecosport,2006,1.28,29.27,300591,Petrol,Dealer,Manual,0
ignis,2011,7.79,40.22,158277,Petrol,Dealer,Manual,0
etios,2018,14.54,35.41,91485,Petrol,Dealer,Manual,0
corolla,2017,6.56,16.35,98496,Petrol,Individual,Manual,0
dzire,2013,3.34,22.99,162183,Petrol,Individual,Manual,1
jazz,2015,2.92,10.61,75359,Petrol,Dealer,Manual,0
tiago,2011,1.68,17.94,131701,Petrol,Dealer,Manual,0
tiago,2010,0.76,6.3,116764,Petrol,Individual,Manual,1
lodgy,2013,3.26,14.25,111828,Petrol,Individual,Manual,0
s-cross,2012,1.55,17.04,121354,Petrol,Dealer,Manual,0
s-cross,2014,15.22,49.26,94777,Petrol,Dealer,Manual,0
polo,2007,1.01,13.85,237640,Petrol,Dealer,Manual,1
tiago,2018,8.07,22.17,90411,Petrol,Dealer,Automatic,0
nexon,2018,7.18,18.77,99641,Petrol,Dealer,Manual,0
a-star,2015,2.91,11.96,148941,Petrol,Dealer,Manual,1
scala,2014,0.95,8.11,142712,Petrol,Individual,Manual,1
jazz,2012,6.08,37.4,185917,Petrol,Dealer,Manual,0
wr-v,2017,3.26,8.51,69351,Petrol,Dealer,Manual,0
tiago,2015,1.38,6.78,106169,Petrol,Dealer,Manual,0
kwid,2009,1.86,21.27,204582,Petrol,Individual,Manual,1
city,2018,9.85,29.0,68182,Petrol,Individual,Manual,0
jazz,2017,5.85,15.58,101304,Petrol,Dealer,Automatic,0
ecosport,2018,4.64,12.12,105950,Petrol,Dealer,Manual,1
city,2016,6.5,19.33,80117,Petrol,Dealer,Manual,0
wr-v,2015,2.51,12.07,127414,Diesel,Individual,Manual,0
etios,2013,1.56,8.21,149247,Petrol,Individual,Manual,0
aspire,2018,12.31,28.5,101781,Petrol,Dealer,Manual,0
ecosport,2017,6.11,20.28,48666,Petrol,Individual,Manual,0
baleno,2006,3.57,49.02,194736,Petrol,Dealer,Automatic,0
endeavour,2005,1.5,9.97,245328,Diesel,Dealer,Manual,0
dzire,2012,2.97,9.86,208513,Petrol,Individual,Manual,0
ertiga,2017,9.35,27.03,82796,Diesel,Dealer,Manual,3
vento,2018,4.42,12.33,83814,Diesel,Dealer,Manual,0
ecosport,2009,1.06,24.4,141607,Petrol,Dealer,Manual,3
scorpio,2015,10.65,35.65,81057,Petrol,Dealer,Manual,0
ecosport,2012,1.91,9.36,196608,Petrol,Individual,Manual,1
qualis,2018,5.17,14.01,93375,Petrol,Individual,Manual,1
jazz,2017,16.08,41.41,77893,Petrol,Dealer,Manual,0
verna,2017,19.17,61.62,78184,Diesel,Individual,Manual,1
vitara,2013,5.76,26.1,138612,Petrol,Dealer,Manual,1
dzire,2013,7.39,33.12,132502,Diesel,Dealer,Manual,0
sail,2011,1.45,10.21,204274,Petrol,Individual,Automatic,0
creta,2007,2.26,28.44,182597,Diesel,Dealer,Manual,0
nexon,2017,10.15,32.32,84577,Diesel,Dealer,Manual,1
lodgy,2017,5.37,14.04,127202,Petrol,Dealer,Manual,1
sx4,2018,4.29,10.93,67486,Petrol,Dealer,Manual,1
innova,2018,4.3,8.32,61720,Diesel,Individual,Manual,0
duster,2014,1.15,5.21,168025,Petrol,Dealer,Manual,1
innova,2016,2.77,4.55,130754,Petrol,Dealer,Manual,0
swift,2018,14.29,32.8,92587,Diesel,Dealer,Manual,0
polo,2017,6.76,17.7,62286,Petrol,Dealer,Manual,0
alto,2011,1.81,11.75,196887,Petrol,Dealer,Manual,0
city,2013,2.66,11.03,113816,Petrol,Individual,Manual,0
ecosport,2009,2.08,33.55,152927,Diesel,Dealer,Automatic,0
swift,2018,4.39,12.28,51608,Petrol,Individual,Manual,0
nano,2015,2.06,5.72,106009,Petrol,Individual,Manual,0
beat,2011,6.26,37.85,118223,Petrol,Dealer,Automatic,0
tigor,2015,5.62,19.59,119061,Petrol,Dealer,Manual,0
verna,2015,6.5,19.11,93351,Petrol,Dealer,Manual,0
city,2012,4.07,23.55,121139,Petrol,Individual,Manual,0
hexa,2008,0.58,13.26,163691,Diesel,Dealer,Manual,0
grand i10,2015,9.34,35.41,124344,Petrol,Dealer,Manual,0
cruze,2014,2.39,12.47,128286,Petrol,Individual,Manual,0
spark,2016,7.54,24.35,108061,Petrol,Individual,Manual,0
scorpio,2014,5.43,22.04,150216,Petrol,Individual,Manual,0
alto,2017,2.89,8.19,78351,Petrol,Dealer,Manual,0
creta,2014,5.15,18.95,169797,Petrol,Individual,Manual,1
scorpio,2014,5.83,23.66,102635,Diesel,Individual,Manual,0
wagon r,2017,5.91,16.4,96715,Petrol,Dealer,Manual,0
swift,2013,1.94,12.87,99765,Petrol,Individual,Manual,0
etios,2009,1.58,15.2,221446,Petrol,Dealer,Manual,0
safari,2005,1.96,27.27,315756,Petrol,Dealer,Manual,0
aspire,2016,6.76,19.91,66921,Petrol,Individual,Manual,0
qualis,2015,4.27,16.4,74929,Petrol,Dealer,Manual,0
jazz,2016,2.77,8.53,127192,Diesel,Dealer,Manual,0
kwid,2010,1.08,18.85,186670,Petrol,Individual,Manual,0
datsun go,2009,2.09,25.73,208781,Petrol,Dealer,Manual,1
mobilio,2004,5.38,71.72,166186,Petrol,Dealer,Manual,1
fortuner,2012,7.54,32.35,189035,Petrol,Dealer,Manual,1
tuv,2014,0.47,3.99,162798,Petrol,Individual,Manual,1
vento,2013,6.18,30.81,170336,Diesel,Dealer,Automatic,0
aspire,2013,10.93,44.37,174137,Petrol,Individual,Manual,0
aspire,2017,9.29,24.11,89259,Petrol,Dealer,Manual,0
verna,2012,5.5,27.88,200419,Diesel,Dealer,Manual,0
alto,2014,5.57,24.54,125708,Petrol,Individual,Manual,1
ignis,2016,4.0,13.96,124792,Petrol,Dealer,Automatic,0
ignis,2013,7.06,33.95,185816,Diesel,Individual,Automatic,1
thar,2015,4.62,19.14,125461,Diesel,Dealer,Manual,0
tigor,2017,6.6,17.54,124722,Petrol,Individual,Automatic,1
fortuner,2018,9.7,27.57,49647,Petrol,Dealer,Manual,0
innova,2009,0.81,9.73,174846,Petrol,Individual,Automatic,0
ciaz,2018,19.9,51.99,114561,Diesel,Dealer,Manual,0
ecosport,2014,3.39,12.23,130516,Petrol,Dealer,Manual,0
aspire,2011,1.81,16.19,146124,Petrol,Individual,Manual,0
sx4,2013,2.08,9.06,128044,Diesel,Dealer,Manual,0
nexon,2018,10.43,25.68,72766,Petrol,Dealer,Manual,1
ertiga,2014,17.48,53.54,158720,Petrol,Dealer,Automatic,0
creta,2012,1.56,9.78,101843,Petrol,Individual,Manual,0
jazz,2015,2.14,7.82,90545,Petrol,Dealer,Manual,0
duster,2011,2.06,19.27,115241,Petrol,Dealer,Manual,1
city,2007,4.05,41.39,274106,Petrol,Dealer,Manual,0
xcent,2009,0.18,5.32,137534,Petrol,Individual,Manual,0
yaris,2009,0.8,7.84,241960,Petrol,Dealer,Manual,0
alto,2009,0.17,11.96,234835,Petrol,Dealer,Manual,0
duster,2009,0.27,13.21,234729,Diesel,Dealer,Manual,0
city,2015,3.02,13.24,132690,Diesel,Dealer,Manual,0
city,2010,0.93,4.12,195263,Petrol,Dealer,Manual,0
bolero,2012,3.52,23.58,122041,Petrol,Dealer,Manual,1
verna,2017,7.38,20.04,120108,Petrol,Dealer,Manual,0
amaze,2013,1.11,4.52,172548,Petrol,Individual,Manual,0
fortuner,2015,11.01,35.25,129664,Petrol,Individual,Manual,0
tiguan,2010,5.58,40.78,194585,Petrol,Individual,Manual,1
baleno,2010,1.58,10.9,200072,Petrol,Individual,Automatic,0
kwid,2006,3.02,29.19,266865,Petrol,Individual,Manual,1
jazz,2010,1.59,11.08,146780,Petrol,Dealer,Manual,0
brio,2011,2.16,18.1,130354,Petrol,Dealer,Manual,0
